0,1
1,2
2,3
3,1
4,4
5,4
6,5
7,6
8,5
9,1
10,7
11,5
12,8
13,9
14,1
15,2
16,10
17,8
18,2
19,2
20,11
21,1
22,9
23,11
24,9
25,11
26,9
27,4
28,10
29,2
30,3
31,11
32,11
33,10
34,8
35,4
36,5
37,3
38,9
39,9
40,8
41,9
42,6
43,8
44,5
45,11
46,5
47,4
48,7
49,2
50,4
51,11
52,3
53,6
54,10
55,3
56,4
57,11
58,1
59,11
60,6
61,10
62,10
63,7
64,6
65,8
66,9
67,2
68,3
69,3
70,1
71,8
72,3
73,5
74,6
75,6
76,9
77,7
78,6
79,10
80,7
81,9
82,6
83,1
84,5
85,1
86,9
87,8
88,4
89,2
90,6
91,9
92,8
93,5
94,5
95,7
96,10
97,8
98,5
99,11
100,3
101,4
102,2
103,5
104,11
105,4
106,4
107,5
108,1
109,4
110,4
111,4
112,11
113,10
114,6
